# y+ u+
3.055742646847341959e+01 1.357579602760342752e+01
3.074336780044322381e+01 1.359649739402603785e+01
3.093003106447699224e+01 1.361711152586782703e+01
3.111742303559521972e+01 1.363763999261126258e+01
3.130555055393524810e+01 1.365808434458477727e+01
3.149442052554329763e+01 1.367844611351912754e+01
3.168403992317668383e+01 1.369872681308198459e+01
3.187441578711521828e+01 1.371892793939337096e+01
3.206555522598214480e+01 1.373905097152159804e+01
3.225746541757582975e+01 1.375909737196062999e+01
3.245015360971018481e+01 1.377906858708784021e+01
3.264362712106570541e+01 1.379896604760153345e+01
3.283789334205128796e+01 1.381879116893770387e+01
3.303295973567468735e+01 1.383854535166650734e+01
3.322883383842518867e+01 1.385822998186910482e+01
3.342552326116501149e+01 1.387784643149717034e+01
3.362303569003268677e+01 1.389739605871852568e+01
3.382137888735609010e+01 1.391688020825257333e+01
3.402056069257649540e+01 1.393630021170029032e+01
3.422058902318380547e+01 1.395565738787258070e+01
3.442147187566246203e+01 1.397495304312092834e+01
3.462321732644799255e+01 1.399418847167144442e+01
3.482583353289562211e+01 1.401336495596316034e+01
3.502932873425908156e+01 1.403248376698794431e+01
3.523371125268175774e+01 1.405154616462920991e+01
3.543898949419819644e+01 1.407055339799433469e+01
3.564517194974791892e+01 1.408950670573750230e+01
3.585226719620068536e+01 1.410840731637107304e+01
3.606028389739297069e+01 1.412725644856728380e+01
3.626923080517689613e+01 1.414605531145737061e+01
3.647911676048057927e+01 1.416480510494002587e+01
3.668995069438024359e+01 1.418350702001672659e+01
3.690174162918502532e+01 1.420216223917503129e+01
3.711449867953306381e+01 1.422077193684099861e+01
3.732823105350050241e+01 1.423933727992105780e+01
3.754294805372216359e+01 1.425785942844518139e+01
3.775865907852468695e+01 1.427633953631460173e+01
3.797537362307203779e+01 1.429477875214298344e+01
3.819310128052392628e+01 1.431317822016485408e+01
3.841185174320575157e+01 1.433153908116965702e+01
3.863163480379163417e+01 1.434986247340709653e+01
3.885246035650048668e+01 1.436814953339922241e+01
3.907433839830375888e+01 1.438640139659292849e+01
3.929727903014675405e+01 1.440461919778933009e+01
3.952129245818162673e+01 1.442280407129837627e+01
3.974638899501456279e+01 1.444095715078593045e+01
3.997257906096429281e+01 1.445907956880278356e+01
4.019987318533434717e+01 1.447717245601135261e+01
4.042828200769752556e+01 1.449523694014894204e+01
4.065781627919375296e+01 1.451327414478528688e+01
4.088848686384007181e+01 1.453128518794313528e+01
4.112030473985391410e+01 1.454927118065461755e+01
4.135328100098911364e+01 1.456723322552070243e+01
4.158742685788455162e+01 1.458517241533190933e+01
4.182275363942510182e+01 1.460308983179362663e+01
4.205927279411658759e+01 1.462098654438364420e+01
4.229699589147174521e+01 1.463886360935302555e+01
4.253593462340971598e+01 1.465672206886512186e+01
4.277610080566819306e+01 1.467456295025352375e+01
4.301750637922720699e+01 1.469238726536633344e+01
4.326016341174588575e+01 1.471019600995589016e+01
4.350408409901131535e+01 1.472799016306765907e+01
4.374928076639938013e+01 1.474577068638524935e+01
4.399576587034758290e+01 1.476353852349894602e+01
4.424355199983997977e+01 1.478129459908315368e+01
4.449265187790358311e+01 1.479903981799088086e+01
4.474307836311598408e+01 1.481677506429356583e+01
4.499484445112528874e+01 1.483450120031130481e+01
4.524796327617987401e+01 1.485221906568350114e+01
4.550244811267008060e+01 1.486992947652735353e+01
4.575831237668016627e+01 1.488763322472028428e+01
4.601556962755068980e+01 1.490533107732511908e+01
4.627423356945095634e+01 1.492302377615850340e+01
4.653431805296150969e+01 1.494071203748330845e+01
4.679583707666613890e+01 1.495839655179063499e+01
4.705880478875288020e+01 1.497607798363139686e+01
4.732323548862390794e+01 1.499375697146293618e+01
4.758914362851403013e+01 1.501143412749896200e+01
4.785654381511728417e+01 1.502911003758645592e+01
4.812545081122031831e+01 1.504678526117427850e+01
4.839587953734446302e+01 1.506446033147745922e+01
4.866784507339279031e+01 1.508213575596655609e+01
4.894136266030444915e+01 1.509981201731534206e+01
4.921644770171405270e+01 1.511748957491878720e+01
4.949311576561611759e+01 1.513516886704803888e+01
4.977138258603414300e+01 1.515285031364068580e+01
5.005126406469296541e+01 1.517053431964164290e+01
5.033277627269465881e+01 1.518822127872642369e+01
5.061593545219640333e+01 1.520591157716754083e+01
5.090075801808998790e+01 1.522360559756912224e+01
5.118726055968208755e+01 1.524130372220489704e+01
5.147545984237481775e+01 1.525900633574897647e+01
5.176537280934428509e+01 1.527671382727222493e+01
5.205701658321875414e+01 1.529442659146299199e+01
5.235040846775245171e+01 1.531214502909592490e+01
5.264556594949636548e+01 1.532986954680931291e+01
5.294250669946401189e+01 1.534760055626801112e+01
5.324124857479048245e+01 1.536533847280892751e+01
5.354180962038498848e+01 1.538308371370069771e+01
5.384420807057406222e+01 1.540083669620574192e+01
5.414846235073581227e+01 1.541859783569339193e+01
5.445459107892203576e+01 1.543636754409153333e+01
5.476261306746845747e+01 1.545414622895600409e+01
5.507254732459046664e+01 1.547193429336758719e+01
5.538441305596315800e+01 1.548973213673700577e+01
5.569822966628468919e+01 1.550754015643128092e+01
5.601401676081936643e+01 1.552535874996607390e+01
5.633179414692146025e+01 1.554318831738171980e+01
5.665158183553550941e+01 1.556102926336522252e+01
5.697340004267208258e+01 1.557888199870617285e+01
5.729726919085721448e+01 1.559674694075479273e+01
5.762320991055364772e+01 1.561462451266185703e+01
5.795124304154978034e+01 1.563251514129495945e+01
5.828138963431729991e+01 1.565041925385420107e+01
5.861367095133191185e+01 1.566833727336642390e+01
5.894810846835677154e+01 1.568626961342361348e+01
5.928472387568510982e+01 1.570421667272141875e+01
5.962353907933966468e+01 1.572217883008263506e+01
5.996457620222630425e+01 1.574015644065676156e+01
6.030785758523828832e+01 1.575814983383805590e+01
6.065340578830884510e+01 1.577615931316048226e+01
6.100124359140874475e+01 1.579418515806733581e+01
6.135139399548534556e+01 1.581222762709561991e+01
6.170388022334026346e+01 1.583028696173573024e+01
6.205872572044105340e+01 1.584836339010151995e+01
6.241595415566514049e+01 1.586645712962193855e+01
6.277558942196988312e+01 1.588456838823831241e+01
6.313765563698735406e+01 1.590269736399779710e+01
6.350217714353721021e+01 1.592084424335269865e+01
6.386917851005549096e+01 1.593900919878931965e+01
6.423868453093415098e+01 1.595719238651959948e+01
6.461072022676643201e+01 1.597539394482309305e+01
6.498531084449396644e+01 1.599361399324038935e+01
6.536248185745105843e+01 1.601185263228841649e+01
6.574225896529959812e+01 1.603010994288573698e+01
6.612466809385159650e+01 1.604838598445319420e+01
6.650973539477188012e+01 1.606668079082053424e+01
6.689748724515700928e+01 1.608499436356131440e+01
6.728795024698338523e+01 1.610332666297776782e+01
6.768115122641974324e+01 1.612167759744420792e+01
6.807711723299703976e+01 1.614004701209308479e+01
6.847587553862987875e+01 1.615843467794755739e+01
6.887745363648264174e+01 1.617684028267791163e+01
